Дата,Серебро (Банк России)
9/4/2020,65.27
9/3/2020,65.79
9/2/2020,68.34
9/1/2020,64.90
8/31/2020,65.63
8/29/2020,65.63
8/28/2020,65.90
8/27/2020,64.10
8/26/2020,63.47
8/25/2020,64.33
8/24/2020,63.97
8/22/2020,63.97
8/21/2020,63.84
8/20/2020,64.61
8/19/2020,66.87
8/18/2020,63.14
8/17/2020,62.86
8/15/2020,62.86
8/14/2020,62.12
8/13/2020,60.77
8/12/2020,66.51
8/11/2020,67.05
8/10/2020,67.07
8/8/2020,67.07
8/7/2020,65.48
8/6/2020,63.48
8/5/2020,57.40
8/4/2020,57.77
8/3/2020,56.82
8/1/2020,56.82
7/31/2020,54.63
7/30/2020,56.52
7/29/2020,54.44
7/28/2020,56.10
7/27/2020,51.74
7/25/2020,51.74
7/24/2020,52.16
7/23/2020,50.63
7/22/2020,46.90
7/21/2020,44.98
7/20/2020,44.18
7/18/2020,44.18
7/17/2020,44.07
7/16/2020,44.00
7/15/2020,43.21
7/14/2020,43.43
7/13/2020,42.98
7/11/2020,42.98
7/10/2020,42.92
7/9/2020,42.34
7/8/2020,41.81
7/7/2020,41.87
7/6/2020,40.84
7/4/2020,40.84
7/3/2020,40.64
7/2/2020,41.26
7/1/2020,40.41
6/30/2020,40.27
6/29/2020,39.63
6/27/2020,39.63
6/26/2020,39.15
6/25/2020,39.52
6/24/2020,39.42
6/23/2020,39.90
6/22/2020,39.20
6/20/2020,39.20
6/19/2020,39.43
6/18/2020,39.03
6/17/2020,39.04
6/16/2020,38.67
6/12/2020,39.72
6/11/2020,39.08
6/10/2020,38.93
6/9/2020,38.72
6/8/2020,38.79
6/6/2020,38.79
6/5/2020,39.39
6/4/2020,39.24
6/3/2020,40.52
6/2/2020,40.70
6/1/2020,40.01
5/30/2020,40.01
5/29/2020,39.64
5/28/2020,39.27
5/27/2020,39.57
5/26/2020,39.13
5/25/2020,39.29
5/23/2020,39.29
5/22/2020,39.23
5/21/2020,40.63
5/20/2020,39.85
5/19/2020,40.71
5/18/2020,38.25
5/16/2020,38.25
5/15/2020,36.91
5/14/2020,36.81
5/13/2020,36.56
5/11/2020,35.58
5/9/2020,35.58
5/8/2020,35.70
5/7/2020,35.85
5/1/2020,35.86
4/30/2020,35.93
4/29/2020,36.31
4/28/2020,36.42
4/27/2020,36.79
4/25/2020,36.79
4/24/2020,36.97
4/23/2020,36.93
4/22/2020,36.70
4/21/2020,36.37
4/20/2020,36.04
4/18/2020,36.04
4/17/2020,37.23
4/16/2020,36.90
4/15/2020,36.56
4/14/2020,35.87
4/13/2020,35.98
4/11/2020,35.98
4/10/2020,36.40
4/9/2020,36.69
4/8/2020,36.57
4/7/2020,35.76
3/30/2020,36.03
3/28/2020,36.03
3/27/2020,35.35
3/26/2020,34.08
3/25/2020,31.71
3/24/2020,32.84
3/23/2020,30.12
3/21/2020,30.12
3/20/2020,32.01
3/19/2020,30.88
3/18/2020,30.80
3/17/2020,37.58
3/16/2020,38.88
3/14/2020,38.88
3/13/2020,40.51
3/12/2020,39.22
3/11/2020,39.10
3/9/2020,37.34
3/7/2020,37.34
3/6/2020,36.71
3/5/2020,35.71
3/4/2020,36.13
3/3/2020,36.65
3/2/2020,38.88
2/29/2020,38.88
2/28/2020,38.13
2/27/2020,38.61
