Дата,Индекс МосБиржи
7/21/2020,2825.71
7/20/2020,2802.24
7/17/2020,2774.79
7/16/2020,2760.01
7/15/2020,2747.91
7/14/2020,2744.54
7/13/2020,2766.79
7/10/2020,2800.94
7/9/2020,2782.43
7/8/2020,2815.83
7/7/2020,2825.21
7/6/2020,2835.18
7/3/2020,2801.66
7/2/2020,2788.79
6/30/2020,2743.20
6/29/2020,2767.95
6/26/2020,2761.74
6/25/2020,2760.75
6/23/2020,2791.97
6/22/2020,2763.29
6/19/2020,2758.67
6/18/2020,2724.33
6/17/2020,2740.10
6/16/2020,2748.30
6/15/2020,2719.06
6/11/2020,2743.80
6/10/2020,2785.18
6/9/2020,2795.90
6/8/2020,2796.30
6/5/2020,2792.74
6/4/2020,2766.26
6/3/2020,2831.08
6/2/2020,2796.51
6/1/2020,2750.24
5/29/2020,2734.83
5/28/2020,2779.98
5/27/2020,2741.02
5/26/2020,2754.04
5/25/2020,2757.93
5/22/2020,2709.38
5/21/2020,2718.67
5/20/2020,2770.79
5/19/2020,2711.72
5/18/2020,2694.25
5/15/2020,2593.91
5/14/2020,2590.31
5/13/2020,2604.98
5/12/2020,2642.04
5/8/2020,2641.55
5/7/2020,2634.00
5/6/2020,2632.10
5/5/2020,2653.51
5/4/2020,2624.64
4/30/2020,2650.56
4/29/2020,2663.14
4/28/2020,2612.24
4/27/2020,2570.91
4/24/2020,2562.03
4/23/2020,2599.41
4/22/2020,2573.41
4/21/2020,2488.02
4/20/2020,2525.97
4/17/2020,2534.97
4/16/2020,2515.05
4/15/2020,2498.94
4/14/2020,2631.83
4/13/2020,2628.85
4/10/2020,2677.86
4/9/2020,2701.77
4/8/2020,2670.12
4/7/2020,2634.74
4/6/2020,2622.59
4/3/2020,2572.23
4/2/2020,2545.95
4/1/2020,2473.61
3/31/2020,2508.81
3/30/2020,2433.35
3/27/2020,2401.11
3/26/2020,2489.97
3/25/2020,2452.69
3/24/2020,2415.97
3/23/2020,2253.35
3/20/2020,2331.61
3/19/2020,2275.70
3/18/2020,2112.64
3/17/2020,2224.74
3/16/2020,2266.90
3/13/2020,2316.38
3/12/2020,2286.40
3/11/2020,2492.88
3/10/2020,2498.94
3/6/2020,2719.51
3/5/2020,2816.70
3/4/2020,2828.01
3/3/2020,2821.37
3/2/2020,2765.77
2/28/2020,2785.08
2/27/2020,2915.84
2/26/2020,3017.42
2/25/2020,3002.68
2/21/2020,3106.03
2/20/2020,3125.10
2/19/2020,3114.57
2/18/2020,3074.05
2/17/2020,3110.06
2/14/2020,3096.88
2/13/2020,3110.05
2/12/2020,3122.27
2/11/2020,3097.58
2/10/2020,3062.41
2/7/2020,3087.63
2/6/2020,3096.68
2/5/2020,3114.25
2/4/2020,3097.60
2/3/2020,3070.84
1/31/2020,3076.65
1/30/2020,3108.58
1/29/2020,3128.80
1/28/2020,3113.10
1/27/2020,3085.16
1/24/2020,3146.20
1/23/2020,3141.20
1/22/2020,3174.62
1/21/2020,3209.22
1/20/2020,3219.92
1/17/2020,3196.88
1/16/2020,3157.23
1/15/2020,3132.63
1/14/2020,3129.77
1/13/2020,3151.69
1/10/2020,3123.66
1/9/2020,3118.08
1/8/2020,3110.06
1/6/2020,3078.87
1/3/2020,3076.37
12/31/2019,3045.87
12/30/2019,3045.87
12/27/2019,3050.47
12/26/2019,3031.67
12/25/2019,3030.84
12/24/2019,3030.59
12/23/2019,3033.81
12/20/2019,3015.93
12/19/2019,3008.39
12/18/2019,3023.92
12/17/2019,3013.29
12/16/2019,3006.16
12/13/2019,2996.63
12/12/2019,2982.86
12/11/2019,2954.40
12/10/2019,2932.40
12/9/2019,2945.03
12/6/2019,2928.76
12/5/2019,2899.29
12/4/2019,2900.66
12/3/2019,2883.48
12/2/2019,2921.18
11/29/2019,2935.37
11/28/2019,2927.57
11/27/2019,2929.05
11/26/2019,2930.62
11/25/2019,2955.32
11/22/2019,2947.68
11/21/2019,2942.60
11/20/2019,2936.47
11/19/2019,2941.69
11/18/2019,2924.48
11/15/2019,2934.82
11/14/2019,2922.45
11/13/2019,2933.89
11/12/2019,2951.16
11/11/2019,2961.46
11/8/2019,2973.19
11/7/2019,3008.54
11/6/2019,2980.84
11/5/2019,2949.55
11/1/2019,2930.40
10/31/2019,2893.98
10/30/2019,2911.15
10/29/2019,2886.48
10/28/2019,2856.91
10/25/2019,2873.41
10/24/2019,2877.05
10/23/2019,2821.58
10/22/2019,2802.23
10/21/2019,2761.15
10/18/2019,2752.91
10/17/2019,2748.64
10/16/2019,2744.35
10/15/2019,2715.26
10/14/2019,2697.46
10/11/2019,2708.07
10/10/2019,2721.51
10/9/2019,2713.02
10/8/2019,2707.89
10/7/2019,2719.22
10/4/2019,2692.55
10/3/2019,2707.47
10/2/2019,2719.39
10/1/2019,2758.83
9/30/2019,2747.18
9/27/2019,2757.98
9/26/2019,2772.70
9/25/2019,2760.29
9/24/2019,2754.53
9/23/2019,2785.46
9/20/2019,2796.41
9/19/2019,2794.77
9/18/2019,2818.60
9/17/2019,2820.86
9/16/2019,2834.32
9/13/2019,2791.74
9/12/2019,2799.99
9/11/2019,2817.05
9/10/2019,2787.52
9/9/2019,2786.63
9/6/2019,2797.55
9/5/2019,2807.06
9/4/2019,2793.36
9/3/2019,2774.20
9/2/2019,2773.01
8/30/2019,2740.04
8/29/2019,2714.25
8/28/2019,2677.31
8/27/2019,2659.35
8/26/2019,2658.24
8/23/2019,2660.74
8/22/2019,2675.13
8/21/2019,2673.95
8/20/2019,2672.84
8/19/2019,2648.09
8/16/2019,2615.20
8/15/2019,2625.58
8/14/2019,2637.04
8/13/2019,2680.12
8/12/2019,2689.93
8/9/2019,2679.71
8/8/2019,2696.69
8/7/2019,2674.98
8/6/2019,2683.35
8/5/2019,2649.16
8/2/2019,2674.90
8/1/2019,2729.42
7/31/2019,2739.50
7/30/2019,2734.68
7/29/2019,2728.27
7/26/2019,2715.68
7/25/2019,2701.02
7/24/2019,2682.91
7/23/2019,2701.06
7/22/2019,2684.25
7/19/2019,2700.57
7/18/2019,2702.59
7/17/2019,2713.17
7/16/2019,2755.88
7/15/2019,2756.44
7/12/2019,2777.58
7/11/2019,2789.66
7/10/2019,2822.75
7/9/2019,2822.66
7/8/2019,2822.55
7/5/2019,2835.35
7/4/2019,2842.78
7/3/2019,2823.95
7/2/2019,2809.81
7/1/2019,2801.47
6/28/2019,2765.85
6/27/2019,2779.66
6/26/2019,2775.14
6/25/2019,2753.96
6/24/2019,2762.65
6/21/2019,2761.23
6/20/2019,2780.20
6/19/2019,2759.12
6/18/2019,2761.69
6/17/2019,2734.31
6/14/2019,2739.28
6/13/2019,2758.36
6/11/2019,2751.75
6/10/2019,2742.59
6/7/2019,2729.61
6/6/2019,2728.25
6/5/2019,2701.84
6/4/2019,2706.29
6/3/2019,2729.93
5/31/2019,2665.33
5/30/2019,2659.52
5/29/2019,2641.15
5/28/2019,2609.78
5/27/2019,2632.95
5/24/2019,2619.24
5/23/2019,2618.61
5/22/2019,2638.71
5/21/2019,2616.53
5/20/2019,2571.65
5/17/2019,2577.48
5/16/2019,2581.11
5/15/2019,2554.49
5/14/2019,2562.33
5/13/2019,2508.87
5/10/2019,2514.87
5/8/2019,2544.43
5/7/2019,2565.10
5/6/2019,2579.75
5/3/2019,2580.95
5/2/2019,2575.22
4/30/2019,2559.32
4/29/2019,2569.83
4/26/2019,2563.72
4/25/2019,2560.94
4/24/2019,2579.05
4/23/2019,2587.48
4/22/2019,2584.74
4/19/2019,2563.90
4/18/2019,2560.80
4/17/2019,2568.26
4/16/2019,2559.84
4/15/2019,2545.12
4/12/2019,2559.72
4/11/2019,2551.45
4/10/2019,2578.58
4/9/2019,2570.28
4/8/2019,2560.07
4/5/2019,2540.99
4/4/2019,2535.50
4/3/2019,2532.32
4/2/2019,2527.77
4/1/2019,2521.25
3/29/2019,2497.10
3/28/2019,2492.40
3/27/2019,2487.48
3/26/2019,2512.63
3/25/2019,2497.59
3/22/2019,2492.70
3/21/2019,2507.81
3/20/2019,2504.23
3/19/2019,2493.28
3/18/2019,2483.70
3/15/2019,2476.73
3/14/2019,2457.79
3/13/2019,2470.61
3/12/2019,2468.25
3/11/2019,2465.94
3/7/2019,2476.64
3/6/2019,2494.04
3/5/2019,2466.23
3/4/2019,2473.79
3/1/2019,2478.01
2/28/2019,2485.27
2/27/2019,2490.65
2/26/2019,2494.02
2/25/2019,2494.63
2/22/2019,2488.63
2/21/2019,2470.23
2/20/2019,2487.82
2/19/2019,2458.55
