Дата,Индекс МосБиржи нефти и газа
11/24/2020,7315.21
11/23/2020,7234.72
11/20/2020,7186.70
11/19/2020,7147.21
11/18/2020,7236.22
11/17/2020,7113.35
11/16/2020,7144.87
11/13/2020,6962.91
11/12/2020,6967.13
11/11/2020,7004.93
11/10/2020,6916.24
11/9/2020,6827.15
11/6/2020,6458.09
11/5/2020,6413.72
11/3/2020,6230.20
11/2/2020,6072.11
10/30/2020,5946.19
10/29/2020,5994.56
10/28/2020,5958.05
10/27/2020,6179.10
10/26/2020,6256.03
10/23/2020,6337.08
10/22/2020,6291.58
10/21/2020,6258.64
10/20/2020,6307.20
10/19/2020,6284.09
10/16/2020,6361.08
10/15/2020,6379.46
10/14/2020,6470.92
10/13/2020,6438.26
10/12/2020,6532.40
10/9/2020,6522.32
10/8/2020,6587.24
10/7/2020,6568.32
10/6/2020,6701.13
10/5/2020,6608.48
10/2/2020,6490.97
10/1/2020,6519.69
9/30/2020,6548.26
9/29/2020,6578.11
9/28/2020,6614.88
9/25/2020,6539.36
9/24/2020,6573.87
9/23/2020,6530.41
9/22/2020,6588.67
9/21/2020,6563.12
9/18/2020,6806.81
9/17/2020,6852.42
9/16/2020,6869.16
9/15/2020,6935.99
9/14/2020,6771.40
9/11/2020,6739.83
9/10/2020,6678.04
9/9/2020,6690.49
9/8/2020,6684.37
9/7/2020,6766.57
9/4/2020,6796.05
9/3/2020,6784.78
9/2/2020,6849.92
9/1/2020,6889.34
8/31/2020,6882.25
8/28/2020,6957.88
8/27/2020,7088.82
8/26/2020,7207.40
8/25/2020,7139.37
8/24/2020,7129.86
8/21/2020,7033.97
8/20/2020,7042.29
8/19/2020,7245.45
8/18/2020,7269.57
8/17/2020,7261.68
8/14/2020,7325.20
8/13/2020,7335.83
8/12/2020,7241.43
8/11/2020,7125.34
8/10/2020,6964.88
8/7/2020,6951.14
8/6/2020,6983.79
8/5/2020,6978.95
8/4/2020,6814.60
8/3/2020,6810.95
7/31/2020,6877.75
7/30/2020,6858.70
7/29/2020,6946.12
7/28/2020,6888.83
7/27/2020,6877.26
7/24/2020,6915.09
7/23/2020,6909.47
7/22/2020,6918.94
7/21/2020,6933.40
7/20/2020,6892.94
7/17/2020,6857.16
7/16/2020,6836.99
7/15/2020,6801.77
7/14/2020,6842.78
7/13/2020,6896.94
7/10/2020,6999.74
7/9/2020,6946.06
7/8/2020,7070.71
7/7/2020,7103.43
7/6/2020,7113.92
7/3/2020,7052.39
7/2/2020,7051.20
6/30/2020,6922.95
6/29/2020,7017.11
6/26/2020,7028.75
6/25/2020,7054.16
6/23/2020,7200.35
6/22/2020,7162.40
6/19/2020,7145.72
6/18/2020,7063.83
6/17/2020,7071.29
6/16/2020,7127.88
6/15/2020,7039.53
6/11/2020,7125.24
6/10/2020,7304.05
