Дата,USD/RUB (Банк России)
10/8/2020,78.09
10/7/2020,78.51
10/6/2020,78.13
10/5/2020,78.09
10/3/2020,78.09
10/2/2020,77.28
10/1/2020,78.78
9/30/2020,79.68
9/29/2020,78.67
9/28/2020,76.82
9/26/2020,76.82
9/25/2020,77.18
9/24/2020,76.35
9/23/2020,76.27
9/22/2020,76.04
9/21/2020,75.03
9/19/2020,75.03
9/18/2020,75.19
9/17/2020,74.93
9/16/2020,75.19
9/15/2020,74.71
9/14/2020,74.89
9/12/2020,74.89
9/11/2020,75.53
9/10/2020,76.07
9/9/2020,75.96
9/8/2020,75.59
9/7/2020,75.18
9/5/2020,75.18
9/4/2020,75.47
9/3/2020,73.86
9/2/2020,73.58
9/1/2020,73.80
8/31/2020,74.64
8/29/2020,74.64
8/28/2020,75.24
8/27/2020,75.54
8/26/2020,74.51
8/25/2020,74.42
8/24/2020,74.10
8/22/2020,74.10
8/21/2020,73.77
8/20/2020,73.24
8/19/2020,73.43
8/18/2020,72.97
8/17/2020,73.22
8/15/2020,73.22
8/14/2020,73.61
8/13/2020,73.24
8/12/2020,73.15
8/11/2020,73.78
8/10/2020,73.64
8/8/2020,73.64
8/7/2020,73.04
8/6/2020,73.28
8/5/2020,73.38
8/4/2020,74.16
8/3/2020,73.43
8/1/2020,73.43
7/31/2020,73.36
7/30/2020,72.23
7/29/2020,71.92
7/28/2020,71.59
7/27/2020,71.60
7/25/2020,71.60
7/24/2020,70.96
7/23/2020,70.79
7/22/2020,70.97
7/21/2020,71.96
7/20/2020,71.71
7/18/2020,71.71
7/17/2020,71.23
7/16/2020,70.80
7/15/2020,71.13
7/14/2020,70.75
7/13/2020,71.23
7/11/2020,71.23
7/10/2020,70.88
7/9/2020,71.24
7/8/2020,72.17
7/7/2020,71.34
7/6/2020,70.50
7/4/2020,70.50
7/3/2020,70.52
7/2/2020,70.44
7/1/2020,70.44
6/30/2020,69.95
6/29/2020,69.13
6/27/2020,69.13
6/26/2020,69.47
6/25/2020,68.84
6/24/2020,68.84
6/23/2020,69.48
6/22/2020,69.57
6/20/2020,69.57
6/19/2020,69.62
6/18/2020,69.48
6/17/2020,69.75
6/16/2020,70.40
6/12/2020,69.12
6/11/2020,68.62
6/10/2020,68.67
6/9/2020,68.31
6/8/2020,68.63
6/6/2020,68.63
6/5/2020,69.02
6/4/2020,68.34
6/3/2020,68.98
6/2/2020,69.71
6/1/2020,70.75
5/30/2020,70.75
5/29/2020,71.10
5/28/2020,71.06
5/27/2020,71.14
5/26/2020,71.60
5/25/2020,71.88
5/23/2020,71.88
5/22/2020,70.92
5/21/2020,72.34
5/20/2020,72.39
5/19/2020,72.98
5/18/2020,73.21
5/16/2020,73.21
5/15/2020,73.93
5/14/2020,73.58
5/13/2020,73.43
5/11/2020,73.87
5/9/2020,73.87
5/8/2020,74.12
5/7/2020,73.97
5/1/2020,72.73
4/30/2020,73.69
4/29/2020,74.57
4/28/2020,74.50
4/27/2020,74.72
4/25/2020,74.72
4/24/2020,75.13
4/23/2020,77.04
4/22/2020,76.26
4/21/2020,74.67
4/20/2020,73.94
4/18/2020,73.94
4/17/2020,74.71
4/16/2020,73.71
4/15/2020,73.32
4/14/2020,73.52
4/13/2020,73.75
4/11/2020,73.75
4/10/2020,74.61
4/9/2020,75.75
4/8/2020,75.46
4/7/2020,76.41
3/30/2020,77.73
3/28/2020,77.73
3/27/2020,78.72
3/26/2020,77.79
3/25/2020,78.85
3/24/2020,80.88
3/23/2020,78.04
3/21/2020,78.04
3/20/2020,80.16
3/19/2020,77.21
3/18/2020,73.89
3/17/2020,74.13
3/16/2020,73.19
3/14/2020,73.19
3/13/2020,74.03
3/12/2020,71.47
3/11/2020,72.02
